Order,Property Id,Property Name,Parent Property Id,Parent Property Name,BBL - 10 digits,"NYC Borough, Block and Lot (BBL) self-reported",NYC Building Identification Number (BIN),Address 1 (self-reported),Address 2,Postal Code,Street Number,Street Name,Borough,DOF Gross Floor Area,Primary Property Type - Self Selected,List of All Property Use Types at Property,Largest Property Use Type,Largest Property Use Type - Gross Floor Area (ft²),2nd Largest Property Use Type,2nd Largest Property Use - Gross Floor Area (ft²),3rd Largest Property Use Type,3rd Largest Property Use Type - Gross Floor Area (ft²),Year Built,Number of Buildings - Self-reported,Occupancy,Metered Areas (Energy),Metered Areas  (Water),ENERGY STAR Score,Site EUI (kBtu/ft²),Weather Normalized Site EUI (kBtu/ft²),Weather Normalized Site Electricity Intensity (kWh/ft²),Weather Normalized Site Natural Gas Intensity (therms/ft²),Weather Normalized Source EUI (kBtu/ft²),Fuel Oil #1 Use (kBtu),Fuel Oil #2 Use (kBtu),Fuel Oil #4 Use (kBtu),Fuel Oil #5 & 6 Use (kBtu),Diesel #2 Use (kBtu),District Steam Use (kBtu),Natural Gas Use (kBtu),Weather Normalized Site Natural Gas Use (therms),Electricity Use - Grid Purchase (kBtu),Weather Normalized Site Electricity (kWh),Total GHG Emissions (Metric Tons CO2e),Direct GHG Emissions (Metric Tons CO2e),Indirect GHG Emissions (Metric Tons CO2e),Property GFA - Self-Reported (ft²),Water Use (All Water Sources) (kgal),Water Intensity (All Water Sources) (gal/ft²),Source EUI (kBtu/ft²),Release Date,Water Required?,DOF Benchmarking Submission Status,Latitude,Longitude,Community Board,Council District,Census Tract,NTA
6931,2813906,"PROSPECT TRIANGLE, LLC",Not Applicable: Standalone Property,Not Applicable: Standalone Property,2026907502,2-02690-7502,2113129,890 PROSPECT AVENUE,Not Available,10459,890,PROSPECT AVENUE,Bronx,139094,Multifamily Housing,"Multifamily Housing, Office, Other, Other - Entertainment/Public Assembly, Parking",Multifamily Housing,127556,Office,6369,Other - Entertainment/Public Assembly,371,2005,1,100,Whole Building,Whole Building,90,36.3,Not Available,7.7,0,Not Available,Not Available,709513.2,Not Available,Not Available,Not Available,Not Available,584480,5844.8,3590029.2,1032069.7,416.9,83.7,333.2,134585,18233,135.48,93.6,03/17/2017 06:05:34 PM,No,In Compliance,40.820819,-73.901137,2,17,12901,Longwood
6933,3529404,Wavecrest - 1157 Intervale Ave,Not Applicable: Standalone Property,Not Applicable: Standalone Property,2026920048,2-02692-0048,2120266,1157 Intervale Avenue,Not Available,10459,1157,INTERVALE AVENUE,Bronx,64245,Multifamily Housing,Multifamily Housing,Multifamily Housing,65530,Not Available,Not Available,Not Available,Not Available,2007,1,100,Whole Building,Whole Building,13,115.1,113.1,6.8,0.9,167,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,6027949.8,59029.5,1511767.9,443073.8,460.5,320.2,140.3,65530,Not Available,Not Available,169,05/01/2017 14:58:14,No,In Compliance,40.827605,-73.895819,2,17,131,Longwood
6934,3927885,1224 Prospect Avenue,Not Applicable: Standalone Property,Not Applicable: Standalone Property,2026937502,2-02693-7502,2098564,1224 Prospect Avenue,Not Available,10459,1224,PROSPECT AVENUE,Bronx,80857,Multifamily Housing,"Multifamily Housing, Retail Store",Multifamily Housing,71219,Retail Store,9638,Not Available,Not Available,2011,1,100,Whole Building,Whole Building,89,51,52.5,7,0.3,105.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2149371.4,23122.6,1971148.9,567575.7,297.1,114.2,182.9,80857,3683.4,45.55,104.5,04/03/2017 14:18:36,No,In Compliance,40.826968,-73.898574,2,17,131,Longwood
6935,2831201,STEBBINS AVENUE-HEWITT PLACE,Not Applicable: Standalone Property,Not Applicable: Standalone Property,2026960005,2026960005,2092000;2092001,839 REV JAMES A POLITE AVENUE,Not Available,10459,820,HEWITT PLACE,Bronx,114750,Multifamily Housing,Multifamily Housing,Multifamily Housing,128150,Not Available,Not Available,Not Available,Not Available,1987,2,100,Whole Building,Not Available,38,105.8,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,1.20946031E7,Not Available,1468101.1,Not Available,778.6,642.4,136.2,128150,Not Available,Not Available,135.1,06/01/2017 16:08:03,Yes,In Compliance,40.818902,-73.899894,2,17,87,Longwood
6937,2665262,830-850 Stebbins Avenue,Not Applicable: Standalone Property,Not Applicable: Standalone Property,2026960075,2026960075,2005347,830-850 Stebbins Avenue,Not Available,10459,830,REV JAMES POLITE AVE,Bronx,75672,Multifamily Housing,"Multifamily Housing, Office, Other, Supermarket/Grocery Store",Multifamily Housing,69642,Office,3805,Supermarket/Grocery Store,1200,1910,1,100,Whole Building,Not Available,Not Available,152.3,163.7,3.8,1.5,199.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.05292176E7,113939.2,990951.8,290431.3,651.2,559.3,92,75662,Not Available,Not Available,187.2,04/25/2017 04:56:25 PM,Yes,In Compliance,40.81875,-73.898886,2,17,87,Longwood
6940,3417122,Hewitt Westchester LP,Not Applicable: Standalone Property,Not Applicable: Standalone Property,2026967501,2-02696-7501,2005345,864 Hewitt Place,Not Available,10459,886,WESTCHESTER AVENUE,Bronx,95166,Multifamily Housing,"Multifamily Housing, Retail Store",Multifamily Housing,86008,Retail Store,12584,Not Available,Not Available,2010,1,100,Whole Building,Not Available,88,56.7,59.5,5.3,0.4,100,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3817199.9,40963.9,1771008.8,519052.9,367.1,202.7,164.3,98592,5901.9,59.86,97.1,05/02/2017 0:00:25,No,In Compliance,40.820774,-73.899454,2,17,87,Longwood
6941,4043081,CC - 889 Dawson Street,Not Applicable: Standalone Property,Not Applicable: Standalone Property,2026970001,2-02697-0001,2005352,889 Dawson Street,Not Available,10459,889,DAWSON STREET,Bronx,87180,Multifamily Housing,Multifamily Housing,Multifamily Housing,65320,Not Available,Not Available,Not Available,Not Available,1925,1,100,Whole Building,Not Available,96,88.7,94.8,5,0.8,135.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,4642339.8,50646.9,1151857.9,329580.5,353.5,246.6,106.9,65320,5231.3,80.09,130,05/01/2017 14:58:14,No,In Compliance,40.819765,-73.897638,2,17,87,Longwood
6942,5038257,Alan Feurman: 894 Rogers Place,Not Applicable: Standalone Property,Not Applicable: Standalone Property,2026970010,2-02697-0010,2005353,"894 ROGERS PLACE,",Not Available,10459,894,ROGERS PLACE,Bronx,52200,Multifamily Housing,Multifamily Housing,Multifamily Housing,54810,Not Available,Not Available,Not Available,Not Available,1915,1,100,Whole Building,Not Available,12,109.6,115.2,8.3,0.9,180.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,4454100.2,47620,1552865.9,455118.9,380.7,236.6,144.1,54810,6300.1,114.94,174.3,04/26/2017 11:12:40 AM,No,In Compliance,40.820564,-73.897861,2,17,87,Longwood
6944,4056049,941 Intervale Avenue,Not Applicable: Standalone Property,Not Applicable: Standalone Property,2026970045,2-02697-0045,2005359,941 Intervale Avenue,Not Available,10459,941,INTERVALE AVENUE,Bronx,58650,Multifamily Housing,"Fast Food Restaurant, Multifamily Housing, Other - Services, Supermarket/Grocery Store",Multifamily Housing,59000,Other - Services,8000,Fast Food Restaurant,2000,1925,1,100,Whole Building,Not Available,Not Available,34.8,36.4,10.7,Not Available,114.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2450449.9,752184.6,227.4,0,227.4,70500,Not Available,Not Available,109.1,04/24/2017 12:11:36 PM,Yes,In Compliance,40.821167,-73.896902,2,17,87,Longwood
6946,2817667,East 163rd LLC 935 East,Not Applicable: Standalone Property,Not Applicable: Standalone Property,2027030025,2-02703-0025,2005456,935 East 163rd Street,Not Available,10459,935,EAST 163 STREET,Bronx,61872,Multifamily Housing,"Multifamily Housing, Restaurant, Retail Store",Multifamily Housing,54502,Retail Store,6370,Restaurant,1000,1910,1,100,Whole Building,Not Available,51,115.3,118.8,8.1,0.9,182.1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,5169479.5,54448,1757854,499787.4,437.7,274.6,163.1,61872,Not Available,Not Available,180.3,04/18/2017 10:43:30 AM,Yes,In Compliance,40.821007,-73.89665,2,17,87,Longwood
6947,2817668,East 163 LLC 945 East,Not Applicable: Standalone Property,Not Applicable: Standalone Property,2027030053,2-02703-0053,2005463,945 East 163rd Street,Not Available,10459,945,EAST 163 STREET,Bronx,61872,Multifamily Housing,"Multifamily Housing, Retail Store",Multifamily Housing,57372,Retail Store,4500,Not Available,Not Available,1910,1,100,Whole Building,Not Available,Not Available,105.3,108.4,6.4,0.8,159.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,4928716.4,52087.6,1428896.4,395750.4,394.4,261.8,132.6,61872,Not Available,Not Available,158.7,04/18/2017 10:43:30 AM,No,In Compliance,40.821004,-73.896209,2,17,87,Longwood
6948,3529409,Wavecrest - 950 Westchester Ave,Not Applicable: Standalone Property,Not Applicable: Standalone Property,2027037501,2-02703-7501,2114693,950 Westchester Avenue,Not Available,10459,950,WESTCHESTER AVENUE,Bronx,188342,Multifamily Housing,Multifamily Housing,Multifamily Housing,193992,Not Available,Not Available,Not Available,Not Available,2006,1,100,Whole Building,Not Available,65,55,57.9,5.4,0.4,99.1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,7117903.4,76912.1,3549763.5,1040376.1,707.5,378.1,329.4,193992,15688.8,80.87,96,05/01/2017 14:58:14,No,In Compliance,40.822388,-73.896326,2,17,87,Longwood
6952,3539023,Cedars Hall,Not Applicable: Standalone Property,Not Applicable: Standalone Property,2027070011,2-02707-0011,2005517,745 Fox St,Not Available,10455,745,FOX STREET,Bronx,89850,Multifamily Housing,"Multifamily Housing, Office",Multifamily Housing,82447,Office,7403,Not Available,Not Available,1850,1,100,Whole Building,Whole Building,57,54.7,56.1,9.3,0.2,125.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2046118.5,21965.6,2868690.3,834349.9,374.9,108.7,266.2,89850,4616.4,51.38,124.2,04/27/2017 06:47:08 PM,No,In Compliance,40.815204,-73.898714,2,8,85,Longwood
6953,2730868,"Fox Street Apartments, LP, 737",Not Applicable: Standalone Property,Not Applicable: Standalone Property,2027070022,2-02707-0022,2005518,737 Fox Street,Not Available,10455,737,FOX STREET,Bronx,52200,Multifamily Housing,Multifamily Housing,Multifamily Housing,52200,Not Available,Not Available,Not Available,Not Available,1923,1,100,Whole Building,Not Available,87,71.2,76.2,4.6,0.1,110.9,Not Available,2523477.3,Not Available,Not Available,Not Available,Not Available,354271.9,3662.1,841468.8,241597.3,284.2,206.1,78.1,52200,Not Available,Not Available,106.6,04/25/2017 06:02:54 PM,No,In Compliance,40.815075,-73.898848,2,8,85,Longwood
6954,2730841,"Fox Streets, LP 725",Not Applicable: Standalone Property,Not Applicable: Standalone Property,2027070026,2-02707-0026,2005519,725 Fox Street,Not Available,10455,725,FOX STREET,Bronx,52200,Multifamily Housing,Multifamily Housing,Multifamily Housing,52200,Not Available,Not Available,Not Available,Not Available,1923,1,100,Whole Building,Whole Building,60,93.7,98.7,5.2,0.1,137.6,Not Available,3625994.4,Not Available,Not Available,Not Available,Not Available,311115.6,3195.4,956218.1,270240.4,374.3,285.6,88.7,52200,7413,142.01,133.9,04/26/2017 07:16:19 PM,Yes,In Compliance,40.814883,-73.899047,2,8,85,Longwood
6955,4038467,Total: 715 Fox Street,Not Applicable: Standalone Property,Not Applicable: Standalone Property,2027070030,2-02707-0030,2116983,715 Fox Street,Not Available,10460,715,FOX STREET,Bronx,60373,Multifamily Housing,Multifamily Housing,Multifamily Housing,63373,Not Available,Not Available,Not Available,Not Available,2008,1,100,Whole Building,Whole Building,85,51.9,53.2,4.2,0.4,85.6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2337000,24727.8,950968.8,263787.2,212.4,124.1,88.2,63373,2587.1,40.82,85.8,04/27/2017 06:35:31 AM,Yes,In Compliance,40.814724,-73.899214,2,8,85,Longwood
6956,2946930,Southern Boulevard IV,Not Applicable: Standalone Property,Not Applicable: Standalone Property,2027070068,2-02707-0068,2005539,777/783 Fox Street,Not Available,10455,777,FOX STREET,Bronx,61200,Multifamily Housing,Multifamily Housing,Multifamily Housing,61200,Not Available,Not Available,Not Available,Not Available,1920,1,100,Whole Building,Whole Building,26,92,96.8,5.8,0.8,142.8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,4389962.4,47202,1238807.2,353300.8,348.1,233.2,115,61200,2642.4,43.18,138.9,03/29/2017 12:06:04 PM,Yes,In Compliance,40.816158,-73.897723,2,8,85,Longwood
6958,5964704,Archcare: 900 Intervale Avenue,Not Applicable: Standalone Property,Not Applicable: Standalone Property,2027110028,2-02711-0028,2086555,900 Intervale Avenue,Not Available,10459,879,BECK STREET,Bronx,107250,Multifamily Housing,Multifamily Housing,Multifamily Housing,125125,Not Available,Not Available,Not Available,Not Available,1991,1,100,Whole Building,Not Available,Not Available,101.6,104.4,13.5,0.6,205.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,6724100.1,73022.1,5992836.8,1687019,913.3,357.1,556.1,125125,10815.3,86.44,206.8,07/26/2017 02:28:23 PM,Yes,In Compliance,40.818841,-73.896147,2,17,87,Longwood
6959,4399634,940 Tiffany Street,Not Applicable: Standalone Property,Not Applicable: Standalone Property,2027120023,2-02712-0023,2005634,940 Tiffany Street,Not Available,10459,940,TIFFANY STREET,Bronx,51190,Multifamily Housing,Multifamily Housing,Multifamily Housing,47832,Not Available,Not Available,Not Available,Not Available,1910,1,100,Whole Building,Whole Building,67,97.4,103.6,5.1,0.9,145.4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3807612.5,41141.5,850852.8,245924.1,281.2,202.2,79,47832,9979.2,208.63,139.4,04/25/2017 07:20:32 PM,Yes,In Compliance,40.820841,-73.894894,2,17,87,Longwood
6960,4401878,955 E. 163rd St & 970 Kelly St,Not Applicable: Standalone Property,Not Applicable: Standalone Property,2027130002,2-02713-0002,2092007;2092008,955 East 163rd Street,Not Available,10459,955,EAST 163 STREET,Bronx,148827,Multifamily Housing,Multifamily Housing,Multifamily Housing,159146,Not Available,Not Available,Not Available,Not Available,1982,1,100,Whole Building,Not Available,79,69.9,74.2,4.8,0.6,111.9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,8491331.1,92259.8,2639999.4,758669.2,696,451,245,159146,Not Available,Not Available,108.1,04/25/2017 07:20:32 PM,Yes,In Compliance,40.821001,-73.89558,2,17,159,Hunts Point
6963,4413490,Fox Point,Not Applicable: Standalone Property,Not Applicable: Standalone Property,2027170063,2-02717-0063,2116192,1015 Fox Street,Not Available,10459,1015,FOX STREET,Bronx,54381,Multifamily Housing,Multifamily Housing,Multifamily Housing,61178,Not Available,Not Available,Not Available,Not Available,2007,1,100,Whole Building,Whole Building,4,139.9,141.8,6.4,1.2,194.4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,7187723.2,73399.1,1372738.8,390806.7,509.2,381.8,127.4,61178,5774.2,94.38,193.8,04/13/2017 03:28:10 PM,Yes,In Compliance,40.824405,-73.893902,2,17,12701,Hunts Point
6965,3535469,Highbridge 1150 Tiffany,Not Applicable: Standalone Property,Not Applicable: Standalone Property,2027180021,2-02718-0021,2120352,1150 Tiffany St,Not Available,10459,1144,TIFFANY STREET,Bronx,62890,Multifamily Housing,"Multifamily Housing, Other",Multifamily Housing,62890,Other,10481,Not Available,Not Available,1960,1,100,Whole Building,Whole Building,39,86.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,4611797.6,Not Available,1720617.6,Not Available,404.6,245,159.7,73371,3491.2,47.58,139.6,05/01/2017 19:43:09,Yes,In Compliance,40.826901,-73.894957,2,17,125,Morrisania-Melrose
6966,5975318,725 Southern Boulevard,Not Applicable: Standalone Property,Not Applicable: Standalone Property,2027200030,2027200030,2005722,725 Southern Boulevard,Not Available,10455,725,SOUTHERN BOULEVARD,Bronx,51000,Multifamily Housing,Multifamily Housing,Multifamily Housing,51010,Not Available,Not Available,Not Available,Not Available,1925,1,100,Whole Building,Not Available,65,96.6,104.2,5.4,0.9,148,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3968089.3,43763.5,957341,275561,299.6,210.8,88.8,51010,Not Available,Not Available,140.6,07/18/2017 03:27:55 PM,Yes,In Compliance,40.814229,-73.898394,2,8,85,Longwood
6967,5043082,830 Fox Street,Not Applicable: Standalone Property,Not Applicable: Standalone Property,2027210010,2-02721-0010,2120355,830 Fox Street,Not Available,10459,830,FOX STREET,Bronx,63891,Multifamily Housing,"Multifamily Housing, Other - Recreation",Multifamily Housing,59725,Other - Recreation,4166,Not Available,Not Available,2006,1,100,Whole Building,Whole Building,51,83.5,88.3,6.7,0.7,140.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3845444.1,41933,1488372.2,425007.9,342.4,204.2,138.1,63891,4900.9,76.71,136.3,04/28/2017 10:50:44 AM,Yes,In Compliance,40.817576,-73.896232,2,17,89,Hunts Point
6968,4000381,887 Southern Blvd,Not Applicable: Standalone Property,Not Applicable: Standalone Property,2027220040,2-02722-0040,2005752,887 Southern Blvd,Not Available,10459,887,SOUTHERN BOULEVARD,Bronx,94916,Multifamily Housing,"Multifamily Housing, Other, Outpatient Rehabilitation/Physical Therapy",Multifamily Housing,102166,Outpatient Rehabilitation/Physical Therapy,11351,Other,1000,1985,1,100,Whole Building,Whole Building,92,60.8,65.5,4.2,0.5,98.6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,5306671.5,58663.4,1656868.3,479037.8,435.6,281.9,153.8,114517,5745,50.17,94.1,04/20/2017 04:59:06 PM,No,In Compliance,40.818913,-73.89355,2,17,89,Hunts Point
6971,3091288,1018 Development,Not Applicable: Standalone Property,Not Applicable: Standalone Property,2027230040,2-02723-0040,2005764,1018 E 163rd St,Not Available,10459,1018,EAST 163 STREET,Bronx,156980,Multifamily Housing,"Multifamily Housing, Other",Multifamily Housing,112562,Other,11970,Not Available,Not Available,1909,1,100,Whole Building,Not Available,24,122.4,131.8,6.4,0.5,181.3,Not Available,6758274.1,Not Available,Not Available,Not Available,Not Available,5738981,59036,2748721.1,793057.5,1037.7,806.3,231.4,124532,Not Available,Not Available,172.5,04/18/2017 09:17:31 AM,Yes,In Compliance,40.82097,-73.892412,2,17,89,Hunts Point
6972,4401920,975-1005 Simpson Street,Not Applicable: Standalone Property,Not Applicable: Standalone Property,2027240005,2-02724-0005,2093935;2113504;2093937;2093936,975 Simpson Street,Not Available,10459,975,SIMPSON STREET,Bronx,276690,Multifamily Housing,Multifamily Housing,Multifamily Housing,293808,Not Available,Not Available,Not Available,Not Available,1981,4,100,Whole Building,Whole Building,77,78.5,82.6,5,0.7,122.6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.79260024E7,192350,5126498,1476855.6,1427.9,952.1,475.7,293808,Not Available,Not Available,118.9,04/25/2017 07:20:32 PM,No,In Compliance,40.82152,-73.89287,2,17,159,Hunts Point
6973,4820402,Ashkenazy: 949 Southern Blvd,Not Applicable: Standalone Property,Not Applicable: Standalone Property,2027240186,2-02724-0186,2005787,949 Southern Blvd,Not Available,10459,949,SOUTHERN BOULEVARD,Bronx,86800,Office,Office,Office,91140,Not Available,Not Available,Not Available,Not Available,1913,1,100,Whole Building,Not Available,96,34.7,34.7,10.2,Not Available,108.8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3159007,925851.9,293.2,0,293.2,91140,Not Available,Not Available,108.8,04/26/2017 12:42:12 PM,No,In Compliance,40.821354,-73.891674,2,17,159,Hunts Point
6977,4000387,870 Southern Blvd,Not Applicable: Standalone Property,Not Applicable: Standalone Property,2027330004,2-02733-0004,2113135,870 Southern Boulevard,Not Available,10459,870,SOUTHERN BOULEVARD,Bronx,113896,Multifamily Housing,"Multifamily Housing, Parking",Multifamily Housing,113896,Parking,0,Not Available,Not Available,2005,1,100,Whole Building,Whole Building,58,87.3,91.8,6.1,0.7,140.1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,7502790.8,80659.8,2439655.8,698833.1,624.9,398.5,226.4,113896,1943.2,17.06,136.4,04/20/2017 04:59:06 PM,Yes,In Compliance,40.818584,-73.893861,2,17,89,Hunts Point
